25.8,34.2,42.84016806689722,0
26.2,34.4,43.24118407259449,1
26.2,34.8,43.560073461829695,2
26.4,35.2,44.0,3
26.8,35.2,44.24115730855151,4
27.2,35.4,44.64302857109943,5
27.2,35.8,44.96087187766714,6
27.4,36.2,45.4004405264971,7
27.8,36.2,45.64296221763001,8
28.2,36.4,46.04562954287844,9
28.2,36.8,46.36248483418463,10
28.4,37.2,46.80170937049201,11
28.8,37.2,47.04550988139038,12
29.2,37.4,47.448919903407706,13
29.2,37.8,47.76484062571548,14
29.4,38.2,48.203734295176766,15
29.8,38.2,48.448735793620045,16
30.2,38.4,48.85284024496426,17
30.2,38.8,49.16787569134952,18
30.4,39.2,49.60645119336799,19
30.8,39.2,49.8525826813416,20
31.2,39.4,50.25733777270738,21
31.2,39.8,50.57153349464498,22
31.4,40.2,51.0098029794274,23
31.8,40.2,51.25699952201651,24
32.2,40.4,51.66236541235796,25
32.2,40.8,51.97576358265456,26
32.4,41.2,52.41373865695902,27
32.8,41.2,52.66194071623263,28
33.2,41.4,53.067881058131576,29
33.2,41.8,53.38052079176448,30
33.4,42.2,53.81821253070377,31
33.8,42.2,54.06736538800462,32
34.2,42.4,54.473846935937985,33
34.2,42.8,54.78576457438556,34
34.4,43.2,55.22318353735142,35
34.8,43.2,55.47323679036585,36
35.2,43.4,55.88022906180683,37
35.2,43.8,56.191458425636185,38
35.4,44.2,56.62861467491501,39
35.8,44.2,56.87952179827113,40
36.2,44.4,57.28699677937394,41
36.2,44.8,57.59756939316103,42
36.4,45.2,58.034472514187634,43
36.8,45.2,58.28619047424527,44
37.2,45.4,58.69412236331676,45
37.2,45.8,59.004067656391285,46
37.4,46.2,59.4407267788677,47
37.8,46.2,59.69321569491796,48
38.2,46.4,60.10158067804873,49
38.2,46.8,60.410926164064065,50
38.4,47.2,60.84734998338054,51
38.8,47.2,61.100572828738684,52
39.2,47.4,61.50934888291373,53
39.2,47.8,61.818120320825024,54
39.4,48.2,62.254317119377355,55
39.8,48.2,62.5082394568908,56
40.2,48.4,62.91740617666943,57
43.2,51.8,67.4498332095788,70
43.4,52.2,67.88519720822795,71
43.8,52.2,68.14161723939343,72
44.2,52.4,68.55216991459862,73
44.2,52.8,68.85840544189213,74
44.4,53.2,69.29357834604878,75
44.8,53.2,69.55055715089563,76
45.2,53.4,69.96141793874679,77
45.2,53.8,70.26720429901847,78
45.4,54.2,70.70219232810253,79
45.8,54.2,70.95970687650845,80
46.2,54.4,71.37086240196345,81
46.2,54.8,71.67621641800018,82
46.4,55.2,72.11102550927978,83
46.8,55.2,72.36905415991009,84
47.2,55.4,72.78049189171504,85
47.2,55.8,73.08542946442881,86
47.4,56.2,73.52006528832793,87
47.8,56.2,73.77858767962424,88
48.2,56.4,74.19029586138608,89
48.2,56.8,74.49483203551773,90
48.4,57.2,74.92930001007616,91
51.8,60.2,79.41838578062388,104
52.2,60.4,79.83107164506812,105
52.2,60.8,80.13413754449473,106
52.4,61.2,80.56798371561746,107
52.8,61.2,80.82870777143478,108
53.2,61.4,81.24161495194443,109
53.2,61.8,81.54434376460455,110
53.4,62.2,81.97804584155443,111
53.8,62.2,82.23916341986948,112
54.2,62.4,82.65228369500748,113
54.2,62.8,82.95468642578308,114
54.4,63.2,83.38824857256567,115
54.8,63.2,83.649745964946,116
55.2,63.4,84.06307155939521,117
55.2,63.8,84.36515868532459,118
55.4,64.2,84.79858489385303,119
55.8,64.2,85.0604490935711,120
56.2,64.4,85.47397264664842,121
56.2,64.8,85.77575414999276,122
56.4,65.2,86.20904824900923,123
56.8,65.2,86.47126690409942,124
57.2,65.4,86.88498144098324,125
57.2,65.8,87.18646683975673,126
57.4,66.2,87.61963250322384,127
57.8,66.2,87.8821938733894,128
58.2,66.4,88.29609277878609,129
58.2,66.8,88.59729115497832,130
58.4,67.2,89.03033190997324,131
58.8,67.2,89.29322482697106,132
59.2,67.4,89.70730182097778,133
59.2,67.8,90.00822184667354,134
59.4,68.2,90.44114108081565,135
59.8,68.2,90.70435491198866,136
60.2,68.4,91.11860402793712,137
60.2,68.8,91.41925398951798,138
60.4,69.2,91.85205495795942,139
60.8,69.2,92.1155795726217,140
61.2,69.4,92.5299951367123,141
61.2,69.8,92.83038295730552,142
61.4,70.2,93.26306878931231,143
61.8,70.2,93.52689452772394,144
62.2,70.4,93.94147114027967,145
62.2,70.8,94.2416044006043,146
62.4,71.2,94.67417810575384,147
62.8,71.2,94.93829575045046,148
63.2,71.4,95.35302826863969,149
63.2,71.8,95.65291422638413,150
63.4,72.2,96.08537870040374,151
63.8,72.2,96.34977944966973,152
64.2,72.4,96.7646629715621,153
64.2,72.8,97.06430857941554,154
64.4,73.2,97.49666660968467,155
64.8,73.2,97.76134205298125,156
65.2,73.4,98.1763719028158,157
65.2,73.8,98.47578382526335,158
65.4,74.2,98.90803809600108,159
65.8,74.2,99.17298019117908,160
66.2,74.4,99.58815190573627,161
66.2,74.8,99.88733653471795,162
66.4,75.2,100.31948963187563,163
66.8,75.2,100.5846906840201,164
67.2,75.4,101.0,165
67.2,75.8,101.29896346952421,166
67.4,76.2,101.7310178854021,167
67.8,76.2,101.99647052717069,168
68.2,76.4,102.41191336949038,169
68.2,76.8,102.71066156928403,170
68.4,77.2,103.14261970688936,171
68.8,77.2,103.40831688022003,172
69.2,77.4,103.82388935115078,173
69.2,77.8,104.12242793942139,174
69.4,78.2,104.55429211658411,175
69.8,78.2,104.82022705565944,176
70.2,78.4,105.23592542473317,177
70.2,78.8,105.53425984011069,178
70.4,79.2,105.96603229337221,179
70.8,79.2,106.23219850873839,180
71.2,79.4,106.64801920335887,181
71.2,79.8,106.94615467607987,182
71.4,80.2,107.37783756436895,183
71.8,80.2,107.64422882811694,184
72.2,80.4,108.06016842481785,185
72.2,80.8,108.35810998720862,186
72.4,81.2,108.78970539531763,187
72.8,81.2,109.05631572724249,188
73.2,81.4,109.47237094353991,189
73.2,81.8,109.77012343985042,190
73.4,82.2,110.20163338172443,191
73.8,82.2,110.46845703638662,192
74.2,82.4,110.88462472317792,193
74.2,82.8,111.18219281881429,194
74.4,83.2,111.61361924066436,195
74.8,83.2,111.88065069528332,196
75.2,83.4,112.29692782974965,197
75.2,83.8,112.59431601994835,198
75.4,84.2,113.02566080319991,199
