1008,91.0
276,91.0
887,72.0
1506,95.0
1236,79.0
3012,100.0
580,78.0
2304,90.0
410,101.0
178,83.0
665,74.0
1222,59.0
670,67.0
333,84.0
657,57.0
1303,87.0
987,74.0
285,88.0
424,94.0
286,91.0
430,74.0
453,101.0
790,62.0
171,87.0
395,81.0
238,87.0
773,92.0
446,87.0
2045,56.0
904,77.0
323,109.0
343,82.0
1110,117.0
851,66.0
979,77.0
1055,78.0
473,70.0
827,77.0
489,94.0
277,69.0
1332,79.0
483,83.0
325,65.0
718,70.0
1392,62.0
876,132.0
1089,74.0
1508,130.0
1088,60.0
770,69.0
1568,84.0
1311,67.0
757,104.0
2296,105.0
380,65.0
908,82.0
557,74.0
1034,76.0
892,57.0
528,69.0
896,65.0
114,86.0
1687,80.0
907,48.0
2010,40.0
1158,90.0
685,95.0
343,87.0
264,45.0
230,75.0
764,72.0
976,80.0
498,79.0
1398,67.0
354,120.0
660,77.0
354,102.0
938,56.0
606,68.0
269,109.0
453,70.0
1050,81.0
634,82.0
680,57.0
961,51.0
651,69.0
2800,112.0
233,56.0
669,57.0
650,78.0
1029,65.0
738,89.0
1788,63.0
754,73.0
1426,52.0
388,54.0
516,61.0
636,93.0
1127,59.0
1387,49.0
730,80.0
1333,63.0
822,77.0
399,67.0
795,70.0
243,91.0
279,115.0
331,45.0
1250,105.0
315,87.0
602,84.0
1440,55.0
315,77.0
803,90.0
231,59.0
1187,87.0
763,104.0
732,62.0
292,68.0
803,119.0
710,78.0
478,66.0
601,65.0
2719,87.0
524,67.0
575,62.0
1248,77.0
1445,35.0
377,69.0
1533,85.0
660,58.0
641,96.0
680,66.0
1076,71.0
543,88.0
1046,52.0
1055,68.0
698,68.0
401,68.0
245,63.0
1420,54.0
273,79.0
701,71.0
276,96.0
3028,97.0
1128,73.0
537,67.0
580,81.0
331,80.0
679,80.0
254,70.0
535,56.0
1851,82.0
242,73.0
368,77.0
580,80.0
480,63.0
901,65.0
127,124.0
479,71.0
454,91.0
158,67.0
628,99.0
988,92.0
618,93.0
766,60.0
324,68.0
378,75.0
1056,78.0
516,61.0
646,72.0
1180,66.0
504,97.0
680,112.0
268,85.0
709,84.0
541,65.0
309,83.0
787,97.0
436,78.0
330,88.0
539,80.0
169,56.0
706,50.0
3047,109.0
428,86.0
747,70.0
315,57.0
2225,95.0
1469,93.0
483,74.0
233,63.0
1922,62.0
1044,60.0
670,105.0
695,72.0
503,101.0
259,90.0
944,78.0
883,59.0
666,71.0
302,92.0
1291,74.0
667,38.0
303,66.0
299,92.0
574,75.0
898,68.0
306,63.0
486,90.0
157,69.0
1058,52.0
918,76.0
1427,61.0
1916,38.0
218,68.0
986,70.0
595,99.0
421,112.0
489,88.0
472,103.0
564,74.0
401,76.0
252,65.0
753,44.0
879,79.0
767,60.0
961,84.0
1261,73.0
199,86.0
1087,79.0
1052,86.0
626,64.0
1284,75.0
300,64.0
855,85.0
1508,73.0
379,68.0
373,72.0
685,85.0
392,89.0
742,53.0
600,55.0
594,60.0
795,75.0
362,78.0
1381,72.0
1198,78.0
1224,106.0
359,73.0
438,105.0
707,74.0
502,47.0
1321,63.0
384,74.0
1482,95.0
224,70.0
506,60.0
1495,56.0
1091,75.0
360,72.0
279,91.0
420,60.0
975,68.0
902,84.0
131,65.0
377,82.0
148,78.0
1090,90.0
1310,86.0
2141,111.0
625,75.0
597,110.0
1811,92.0
561,48.0
794,78.0
1251,96.0
322,91.0
630,73.0
321,82.0
313,62.0
345,102.0
677,95.0
659,56.0
225,89.0
324,78.0
666,118.0
990,60.0
1350,77.0
763,65.0
703,81.0
2631,91.0
1051,87.0
845,83.0
1114,62.0
648,78.0
1191,72.0
210,85.0
728,63.0
373,67.0
524,76.0
171,91.0
808,114.0
610,71.0
935,55.0
368,92.0
462,83.0
1942,69.0
451,99.0
624,89.0
524,82.0
1249,72.0
3052,79.0
329,67.0
456,79.0
567,105.0
1672,80.0
304,94.0
201,87.0
1140,56.0
435,77.0
503,80.0
519,74.0
1080,91.0
659,74.0
362,112.0
625,88.0
880,68.0
515,60.0
439,61.0
1220,68.0
284,115.0
376,70.0
787,84.0
901,82.0
784,117.0
997,49.0
232,118.0
741,75.0
1794,64.0
1017,85.0
114,98.0
426,60.0
522,71.0
678,108.0
453,102.0
469,56.0
